"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,product_count_product_cat,display_type,thumbnail_id,order,_astra_sites_imported_term,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text"
15,Shop,shop,,,,,,8500,subcategories,151952,,,https://grandeshop.it/wp-content/uploads/2023/12/393562758_1383767155827528_8278373144252166164_n.jpg,393562758_1383767155827528_8278373144252166164_n.jpg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/393562758_1383767155827528_8278373144252166164_n.jpg,151952,393562758_1383767155827528_8278373144252166164_n,,,
96,Uomo,uomo,"

",15,Shop,shop,,1331,,499,,1,https://grandeshop.it/wp-content/uploads/2018/12/men-fashion-free-img.jpg,men-fashion-free-img.jpg,/home/fwbibudd/public_html/wp-content/uploads/2018/12/men-fashion-free-img.jpg,499,men-fashion-free-img,,,
105,Donna,donna,"
",15,Shop,shop,,7169,,500,,1,https://grandeshop.it/wp-content/uploads/2018/12/women-fashion-free-img.jpg,women-fashion-free-img.jpg,/home/fwbibudd/public_html/wp-content/uploads/2018/12/women-fashion-free-img.jpg,500,women-fashion-free-img,,,
113,"Scarpe da donna",scarpe-da-donna,,105,Donna,donna,,13,,5631,,,https://grandeshop.it/wp-content/uploads/2023/10/Odissea-Sneakers-donna-Versace-rosa-5.png,Odissea-Sneakers-donna-Versace-rosa-5.png,/home/fwbibudd/public_html/wp-content/uploads/2023/10/Odissea-Sneakers-donna-Versace-rosa-5.png,5631,Odissea-Sneakers-donna-Versace-rosa-5,,,
114,Borse-,borse,,105,Donna,donna,,,,,,,,,,,,,,
115,Profumi-,profumi,,105,Donna,donna,,,,,,,,,,,,,,
116,"Scarpe da uomo",scarpe-da-uomo,,96,Uomo,uomo,,53,,5007,,,https://grandeshop.it/wp-content/uploads/2023/10/Odissea-Sneakers-Shoes-Versace-5.png,Odissea-Sneakers-Shoes-Versace-5.png,/home/fwbibudd/public_html/wp-content/uploads/2023/10/Odissea-Sneakers-Shoes-Versace-5.png,5007,Odissea-Sneakers-Shoes-Versace-5,,,
117,Profumi+,profumi-uomo,,96,Uomo,uomo,,,,,,,,,,,,,,
118,"Alexander Mcqueen-",alexander-mcqueen,,115,Profumi-,profumi,,,,,,,,,,,,,,
119,Prada-,prada,,115,Profumi-,profumi,,,,,,,,,,,,,,
120,Gucci-,gucci,,115,Profumi-,profumi,,,,,,,,,,,,,,
121,"Christian Dior-",christian-dior,,115,Profumi-,profumi,,,,,,,,,,,,,,
122,Chanel-,chanel,,115,Profumi-,profumi,,,,,,,,,,,,,,
123,"yves Saint Laurent-",yves-saint-laurent,,115,Profumi-,profumi,,,,,,,,,,,,,,
124,"Louis Vuitton-",louis-vuitton,,115,Profumi-,profumi,,,,,,,,,,,,,,
125,Versace-,versace,,115,Profumi-,profumi,,,,,,,,,,,,,,
126,Valentino-,valentino,,115,Profumi-,profumi,,,,,,,,,,,,,,
127,Trussardi-,trussardi,,115,Profumi-,profumi,,,,,,,,,,,,,,
128,Dsquared-,dsquared,,115,Profumi-,profumi,,,,,,,,,,,,,,
129,Givenchy-,givenchy,,115,Profumi-,profumi,,,,,,,,,,,,,,
130,"Tom Ford-",tom-ford,,115,Profumi-,profumi,,,,,,,,,,,,,,
131,Mororph-,mororph,,115,Profumi-,profumi,,,,,,,,,,,,,,
132,"Salvatore Ferragano-",salvatore-ferragano,,115,Profumi-,profumi,,,,,,,,,,,,,,
133,"Rocco Barocco-",rocco-barocco,,115,Profumi-,profumi,,,,,,,,,,,,,,
134,"Ralph Lauren-",ralph-lauren,,115,Profumi-,profumi,,,,,,,,,,,,,,
135,Balmain-,balmain,,115,Profumi-,profumi,,,,,,,,,,,,,,
136,"Narciso Rodrigues-",narciso-rodrigues,,115,Profumi-,profumi,,,,,,,,,,,,,,
137,Moschino-,moschino,,115,Profumi-,profumi,,,,,,,,,,,,,,
138,Moncler-,moncler,,115,Profumi-,profumi,,,,,,,,,,,,,,
139,"Laura Biagiotti-",laura-biagiotti,,115,Profumi-,profumi,,,,,,,,,,,,,,
140,Iceberg-,iceberg,,115,Profumi-,profumi,,,,,,,,,,,,,,
141,Hermes-,hermes,,115,Profumi-,profumi,,,,,,,,,,,,,,
142,"Dolce &amp; Gabbana-",dolce-gabbana,,115,Profumi-,profumi,,,,,,,,,,,,,,
143,"Costume Nazionale-",costume-nazionale,,115,Profumi-,profumi,,,,,,,,,,,,,,
144,Cavalli-,cavalli,,115,Profumi-,profumi,,,,,,,,,,,,,,
145,"Calvin Klein-",calvin-klein,,115,Profumi-,profumi,,,,,,,,,,,,,,
146,Bulgari-,bulgari,,115,Profumi-,profumi,,,,,,,,,,,,,,
147,Balenciaga-,balenciaga,,115,Profumi-,profumi,,,,,,,,,,,,,,
148,Armani-,armani,,115,Profumi-,profumi,,,,,,,,,,,,,,
149,Montale-,montale,,115,Profumi-,profumi,,,,,,,,,,,,,,
150,"Alexander Mecqueen+",alexander-mecqueen,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
151,Prada+,prada-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
152,Gucci+,gucci-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
153,"Christian Dior+",christian-dior-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
154,Chanel+,chanel-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
155,"Yves Saint Laurent+",yves-saint-laurent-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
156,"Louis Vuiotton+",louis-vuiotton,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
157,Versace+,versace-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
158,Valentino+,valentino-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
159,Trussardi+,trussardi-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
160,Dsquared+,dsquared-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
161,Givenchy+,givenchy-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
162,"Tom Ford+",tom-ford-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
163,Morph+,morph,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
164,"Salvatore Ferragamo+",salvatore-ferragamo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
165,"Rocco Barocco+",rocco-barocco-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
166,"Ralph Lauren+",ralph-lauren-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
167,Balman+,balman,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
168,"Narciso Rodiguez+",narciso-rodiguez,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
169,Moschino+,moschino-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
170,Moncler+,moncler-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
171,"Laura Biagiotti+",laura-biagiotti-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
172,Iceberg+,iceberg-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
173,Hermes+,hermes-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
174,"Dolce &amp; Gabbana+",dolce-gabbana-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
175,"Costume Nazionale+",costume-nazionale-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
176,Cavalli+,cavalli-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
177,"Calvin Klein+",calvin-klein-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
178,Bulgari+,bulgari-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
179,Balenciaga+,balenciaga-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
180,Armani+,armani-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
181,Montale+,montale-profumi-uomo,,117,Profumi+,profumi-uomo,,,,,,,,,,,,,,
182,"Alexander Mcqueen scarpe da uomo",alexander-mcqueen-scarpe-da-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,31,products,5608,,,https://grandeshop.it/wp-content/uploads/2023/10/Sneaker-Oversize-Uomo-Nero-bianco-4.png,Sneaker-Oversize-Uomo-Nero-bianco-4.png,/home/fwbibudd/public_html/wp-content/uploads/2023/10/Sneaker-Oversize-Uomo-Nero-bianco-4.png,5608,Sneaker-Oversize-Uomo-Nero-bianco-4,,,
183,"Air Jordan++",air-jordan,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
184,Nike++,nike,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
185,Valentino++,valentino-scarpe-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
186,Gucci++,gucci-scarpe-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
187,"Louis Vuitton++",louis-vuitton-scarpe-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
188,"Dolce &amp; Gabbana++",dolce-gabbana-scarpe-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
189,Dsquared++,dsquared-scarpe-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
190,Armani++,armani-scarpe-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
191,Balenciaga++,balenciaga-scarpe-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,,,,,,,,,,,,,
192,"Versace scarpe da uomo",versace-scarpe-da-uomo,,116,"Scarpe da uomo",scarpe-da-uomo,,22,products,5007,,,https://grandeshop.it/wp-content/uploads/2023/10/Odissea-Sneakers-Shoes-Versace-5.png,Odissea-Sneakers-Shoes-Versace-5.png,/home/fwbibudd/public_html/wp-content/uploads/2023/10/Odissea-Sneakers-Shoes-Versace-5.png,5007,Odissea-Sneakers-Shoes-Versace-5,,,
193,"Versace scarpe da donna",versace-scarpe-da-donna,,113,"Scarpe da donna",scarpe-da-donna,,13,products,5631,,,https://grandeshop.it/wp-content/uploads/2023/10/Odissea-Sneakers-donna-Versace-rosa-5.png,Odissea-Sneakers-donna-Versace-rosa-5.png,/home/fwbibudd/public_html/wp-content/uploads/2023/10/Odissea-Sneakers-donna-Versace-rosa-5.png,5631,Odissea-Sneakers-donna-Versace-rosa-5,,,
194,Balenciaga-+,balenciaga-scarpe,,113,"Scarpe da donna",scarpe-da-donna,,,,,,,,,,,,,,
195,Armani-+,armani-scarpe,,113,"Scarpe da donna",scarpe-da-donna,,,,,,,,,,,,,,
